"Date","Price","Open","High","Low","Vol.","Change %"
"May 20","8,381.20","7,978.64","8,399.56","7,960.14","26.74M","5.05%"
"Apr 20","7,978.64","7,625.38","8,418.71","7,408.16","25.23M","4.63%"
"Mar 20","7,625.38","7,561.99","7,775.37","6,936.37","15.64M","-16.40%"
"Feb 20","9,121.27","10,027.88","10,228.10","9,121.27","357.96M","-9.04%"
"Jan 20","10,027.88","9,977.30","10,231.21","9,832.59","358.18M","0.51%"
"Dec 19","9,977.30","9,886.93","9,989.79","9,765.63","260.34M","0.91%"
"Nov 19","9,886.93","9,518.89","9,904.93","9,518.89","418.08M","3.87%"
"Oct 19","9,518.89","9,574.37","9,719.29","9,405.92","187.21M","-0.58%"
"Sep 19","9,574.37","9,235.72","9,659.39","9,204.23","276.32M","3.67%"
"Aug 19","9,235.72","9,204.15","9,261.16","8,957.01","306.13M","0.34%"
"Jul 19","9,204.15","8,814.27","9,204.15","8,773.99","585.85M","4.42%"
"Jun 19","8,814.27","8,493.13","8,822.68","8,446.28","586.25M","3.78%"
"May 19","8,493.13","8,441.95","8,514.08","8,055.58","418.71M","0.61%"
"Apr 19","8,441.95","8,045.38","8,469.08","8,045.38","253.09M","4.93%"
"Mar 19","8,045.38","7,675.21","8,165.85","7,656.64","360.28M","4.82%"
"Feb 19","7,675.21","6,950.84","7,881.87","6,940.70","445.84M","10.42%"
"Jan 19","6,950.84","7,383.68","7,721.43","6,771.68","517.32M","-5.86%"
"Dec 18","7,383.68","8,665.36","8,788.60","6,925.06","648.87M","-14.79%"
"Nov 18","8,665.36","8,519.21","8,691.26","8,464.13","439.42M","1.72%"
"Oct 18","8,519.21","8,412.72","8,677.01","8,336.01","507.40M","1.27%"
"Sep 18","8,412.72","8,274.54","8,457.44","8,156.47","484.19M","1.67%"
"Aug 18","8,274.54","7,977.74","8,378.91","7,972.08","364.87M","3.72%"
"Jul 18","7,977.74","8,087.01","8,132.02","7,751.77","208.33M","-1.35%"
"Jun 18","8,087.01","8,080.10","8,320.54","7,897.97","250.92M","0.09%"